emp_id,name,department,region,sales_amount,sale_date
140,Amr Ibrahim,Electronics,Cairo,6150.5,2/13/2024
141,Dina Saeed,Grocery,Alexandria,790.6,2/14/2024
142,Hany Adel,Clothing,Cairo,1460.25,2/15/2024
143,Rania Hassan,Electronics,Giza,3750.75,2/16/2024
144,Sherif Nabil,Grocery,Cairo,560.4,2/17/2024
145,Mostafa Fathy,Clothing,Alexandria,1280.5,2/18/2024
146,Menna Hassan,Electronics,Cairo,5200.8,2/19/2024
147,Khaled Adel,Grocery,Giza,710.25,2/20/2024
148,Salma Nabil,Clothing,Cairo,1590.6,2/21/2024
149,Mohamed Fathy,Electronics,Alexandria,4400.4,2/22/2024
150,Reem Saeed,Grocery,Cairo,845.75,2/23/2024
151,Ibrahim Hassan,Clothing,Giza,1375.2,2/24/2024
152,Asmaa Adel,Electronics,Cairo,5900,2/25/2024
153,Marwan Nabil,Grocery,Alexandria,635.5,2/26/2024
154,Huda Fathy,Clothing,Cairo,1210.75,2/27/2024
155,Adel Hassan,Electronics,Giza,4600.6,2/28/2024
156,Esraa Saeed,Grocery,Cairo,775.25,2/29/2024
157,Islam Adel,Clothing,Alexandria,1490.4,3/1/2024
158,Mariam Hassan,Electronics,Cairo,5300.75,3/2/2024
159,Ahmed Fathy,Grocery,Giza,690.5,3/3/2024
160,Sara Hassan,Clothing,Cairo,1325.8,3/4/2024
161,Omar Adel,Electronics,Alexandria,4100.25,3/5/2024
162,Nour Khaled,Grocery,Cairo,915.6,3/6/2024
163,Youssef Saeed,Clothing,Giza,1550.4,3/7/2024
164,Mona Hassan,Electronics,Cairo,5750,3/8/2024
165,Karim Nabil,Grocery,Alexandria,605.75,3/9/2024
166,Laila Fathy,Clothing,Cairo,1180.2,3/10/2024
167,Tarek Hassan,Electronics,Giza,4900.5,3/11/2024
168,Heba Adel,Grocery,Cairo,735.4,3/12/2024
169,Amr Nabil,Clothing,Alexandria,1420.75,3/13/2024
170,Dina Fathy,Electronics,Cairo,6250.6,3/14/2024
171,Hany Hassan,Grocery,Giza,810.25,3/15/2024
172,Rania Adel,Clothing,Cairo,1290.5,3/16/2024
173,Sherif Fathy,Electronics,Alexandria,4550.8,3/17/2024
174,Mostafa Hassan,Grocery,Cairo,570.6,3/18/2024
175,Menna Nabil,Clothing,Giza,1610.25,3/19/2024
176,Khaled Fathy,Electronics,Cairo,5350.4,3/20/2024
177,Salma Hassan,Grocery,Alexandria,695.75,3/21/2024
178,Mohamed Adel,Clothing,Cairo,1360.5,3/22/2024
179,Reem Fathy,Electronics,Giza,4800.25,3/23/2024
180,Ibrahim Hassan,Grocery,Cairo,850.6,3/24/2024
181,Asmaa Nabil,Clothing,Alexandria,1240.4,3/25/2024
182,Marwan Hassan,Electronics,Cairo,5100.75,3/26/2024
183,Huda Adel,Grocery,Giza,640.25,3/27/2024
184,Adel Fathy,Clothing,Cairo,1480.6,3/28/2024
185,Esraa Hassan,Electronics,Alexandria,3950.5,3/29/2024
186,Islam Nabil,Grocery,Cairo,720.75,3/30/2024
187,Mariam Fathy,Clothing,Giza,1350.4,3/31/2024
188,Ahmed Hassan,Electronics,Cairo,5800.2,4/1/2024
189,Sara Mostafa,Grocery,Alexandria,605.5,4/2/2024
190,Omar Khaled,Clothing,Cairo,1550.75,4/3/2024
191,Nour Ibrahim,Electronics,Giza,4350.6,4/4/2024
192,Youssef Ali,Grocery,Cairo,890.25,4/5/2024
193,Mona Adel,Clothing,Alexandria,1275.4,4/6/2024
194,Karim Fathy,Electronics,Cairo,4950.8,4/7/2024
195,Laila Samir,Grocery,Giza,760.6,4/8/2024
196,Tarek Nabil,Clothing,Cairo,1410.25,4/9/2024
197,Heba Yousry,Electronics,Alexandria,5500.5,4/10/2024
198,Amr Saeed,Grocery,Cairo,680.75,4/11/2024
199,Dina Ashraf,Clothing,Giza,1195.4,4/12/2024
200,Hany Ragab,Electronics,Cairo,4700.2,4/13/2024
201,Rania Fouad,Grocery,Alexandria,825.5,4/14/2024
202,Sherif Adel,Clothing,Cairo,1630.75,4/15/2024
203,Mostafa Mahmoud,Electronics,Giza,6100.6,4/16/2024
204,Menna Saad,Grocery,Cairo,590.25,4/17/2024
205,Khaled Hassan,Clothing,Alexandria,1340.4,4/18/2024
206,Salma Ahmed,Electronics,Cairo,4250.75,4/19/2024
207,Mohamed Essam,Grocery,Giza,940.5,4/20/2024
208,Reem Khalil,Clothing,Cairo,1510.25,4/21/2024
209,Ibrahim Adel,Electronics,Alexandria,5350.8,4/22/2024
210,Asmaa Nabil,Grocery,Cairo,710.6,4/23/2024
211,Marwan Fathy,Clothing,Giza,1285.4,4/24/2024
212,Huda Samir,Electronics,Cairo,4850.25,4/25/2024
213,Adel Youssef,Grocery,Alexandria,650.75,4/26/2024
214,Esraa Khaled,Clothing,Cairo,1450.5,4/27/2024
215,Islam Hassan,Electronics,Giza,5700.6,4/28/2024
216,Mariam Saeed,Grocery,Cairo,805.25,4/29/2024
217,Ahmed Nabil,Clothing,Alexandria,1220.4,4/30/2024
218,Sara Adel,Electronics,Cairo,4450.75,5/1/2024
219,Omar Fathy,Grocery,Giza,735.5,5/2/2024
220,Nour Saeed,Clothing,Cairo,1580.25,5/3/2024
221,Youssef Hassan,Electronics,Alexandria,5100.8,5/4/2024
222,Mona Ibrahim,Grocery,Cairo,875.6,5/5/2024
223,Karim Mostafa,Clothing,Giza,1310.4,5/6/2024
224,Laila Adel,Electronics,Cairo,5950.25,5/7/2024
225,Tarek Hassan,Grocery,Alexandria,620.75,5/8/2024
226,Heba Khaled,Clothing,Cairo,1475.5,5/9/2024
227,Amr Ibrahim,Electronics,Giza,4650.6,5/10/2024
228,Dina Saeed,Grocery,Cairo,785.25,5/11/2024
229,Hany Adel,Clothing,Alexandria,1390.4,5/12/2024
230,Rania Hassan,Electronics,Cairo,5250.75,5/13/2024
231,Sherif Nabil,Grocery,Giza,690.5,5/14/2024
232,Mostafa Fathy,Clothing,Cairo,1260.25,5/15/2024
233,Menna Hassan,Electronics,Alexandria,4800.8,5/16/2024
234,Khaled Adel,Grocery,Cairo,840.6,5/17/2024
235,Salma Nabil,Clothing,Giza,1530.4,5/18/2024
236,Mohamed Fathy,Electronics,Cairo,6100.25,5/19/2024
237,Reem Saeed,Grocery,Alexandria,575.75,5/20/2024
238,Ibrahim Hassan,Clothing,Cairo,1365.5,5/21/2024
239,Asmaa Adel,Electronics,Giza,4550.6,5/22/2024
240,Marwan Nabil,Grocery,Cairo,925.25,5/23/2024
241,Huda Fathy,Clothing,Alexandria,1480.4,5/24/2024
242,Adel Hassan,Electronics,Cairo,5400.75,5/25/2024
243,Esraa Saeed,Grocery,Giza,705.5,5/26/2024
244,Islam Adel,Clothing,Cairo,1295.25,5/27/2024
245,Mariam Hassan,Electronics,Alexandria,4900.8,5/28/2024
246,Ahmed Fathy,Grocery,Cairo,815.6,5/29/2024
247,Sara Hassan,Clothing,Giza,1570.4,5/30/2024
248,Omar Adel,Electronics,Cairo,5750.25,5/31/2024
249,Nour Khaled,Grocery,Alexandria,630.75,6/1/2024
250,Youssef Saeed,Clothing,Cairo,1425.5,6/2/2024
251,Mona Hassan,Electronics,Giza,4300.6,6/3/2024
252,Karim Nabil,Grocery,Cairo,755.25,6/4/2024
253,Laila Fathy,Clothing,Alexandria,1210.4,6/5/2024
254,Tarek Hassan,Electronics,Cairo,5150.75,6/6/2024
255,Heba Adel,Grocery,Giza,865.5,6/7/2024
256,Amr Nabil,Clothing,Cairo,1490.25,6/8/2024
257,Dina Fathy,Electronics,Alexandria,4650.8,6/9/2024
258,Hany Hassan,Grocery,Cairo,680.6,6/10/2024
259,Rania Adel,Clothing,Giza,1325.4,6/11/2024
260,Sherif Fathy,Electronics,Cairo,5850.25,6/12/2024
261,Mostafa Hassan,Grocery,Alexandria,725.75,6/13/2024
262,Menna Nabil,Clothing,Cairo,1540.5,6/14/2024
263,Khaled Fathy,Electronics,Giza,4750.6,6/15/2024
264,Salma Hassan,Grocery,Cairo,810.25,6/16/2024
265,Mohamed Adel,Clothing,Alexandria,1270.4,6/17/2024
266,Reem Fathy,Electronics,Cairo,5300.75,6/18/2024
267,Ibrahim Hassan,Grocery,Giza,595.5,6/19/2024
268,Asmaa Nabil,Clothing,Cairo,1435.25,6/20/2024
269,Marwan Hassan,Electronics,Alexandria,4950.8,6/21/2024
270,Huda Adel,Grocery,Cairo,780.6,6/22/2024
271,Adel Fathy,Clothing,Giza,1600.4,6/23/2024
272,Esraa Hassan,Electronics,Cairo,5650.75,6/24/2024
273,Islam Nabil,Grocery,Alexandria,645.5,6/25/2024
274,Mariam Fathy,Clothing,Cairo,1380.25,6/26/2024
275,Ahmed Hassan,Electronics,Giza,4200.6,6/27/2024
276,Sara Mostafa,Grocery,Cairo,900.75,6/28/2024
277,Omar Khaled,Clothing,Alexandria,1250.4,6/29/2024
278,Nour Ibrahim,Electronics,Cairo,5100.25,6/30/2024
279,Youssef Ali,Grocery,Giza,735.5,7/1/2024
280,Mona Adel,Clothing,Cairo,1515.75,7/2/2024
281,Karim Fathy,Electronics,Alexandria,4750.6,7/3/2024
282,Laila Samir,Grocery,Cairo,825.25,7/4/2024
283,Tarek Nabil,Clothing,Giza,1340.4,7/5/2024
284,Heba Yousry,Electronics,Cairo,5900.75,7/6/2024
285,Amr Saeed,Grocery,Alexandria,610.5,7/7/2024
286,Dina Ashraf,Clothing,Cairo,1460.25,7/8/2024
287,Hany Ragab,Electronics,Giza,4550.8,7/9/2024
288,Rania Fouad,Grocery,Cairo,770.6,7/10/2024
289,Sherif Adel,Clothing,Alexandria,1290.4,7/11/2024
290,Mostafa Mahmoud,Electronics,Cairo,5250.75,7/12/2024
291,Menna Saad,Grocery,Giza,850.5,7/13/2024
292,Khaled Hassan,Clothing,Cairo,1550.25,7/14/2024
293,Salma Ahmed,Electronics,Alexandria,4800.6,7/15/2024
294,Mohamed Essam,Grocery,Cairo,695.75,7/16/2024
295,Reem Khalil,Clothing,Giza,1375.4,7/17/2024
296,Ibrahim Adel,Electronics,Cairo,6100.25,7/18/2024
297,Asmaa Nabil,Grocery,Alexandria,625.5,7/19/2024
298,Marwan Fathy,Clothing,Cairo,1420.75,7/20/2024
299,Huda Samir,Electronics,Giza,4350.6,7/21/2024
300,Adel Youssef,Grocery,Cairo,805.25,7/22/2024
301,Esraa Khaled,Clothing,Alexandria,1280.4,7/23/2024
302,Islam Hassan,Electronics,Cairo,5550.75,7/24/2024
303,Mariam Saeed,Grocery,Giza,745.5,7/25/2024
304,Ahmed Nabil,Clothing,Cairo,1500.25,7/26/2024
305,Sara Adel,Electronics,Alexandria,4900.6,7/27/2024
306,Omar Fathy,Grocery,Cairo,680.75,7/28/2024
307,Nour Saeed,Clothing,Giza,1350.4,7/29/2024
308,Youssef Hassan,Electronics,Cairo,5750.25,7/30/2024
309,Mona Ibrahim,Grocery,Alexandria,890.5,7/31/2024
310,Karim Mostafa,Clothing,Cairo,1240.75,8/1/2024
311,Laila Adel,Electronics,Giza,4650.6,8/2/2024
312,Tarek Hassan,Grocery,Cairo,720.25,8/3/2024
313,Heba Khaled,Clothing,Alexandria,1580.4,8/4/2024
314,Amr Ibrahim,Electronics,Cairo,5350.75,8/5/2024
315,Dina Saeed,Grocery,Giza,645.5,8/6/2024
316,Hany Adel,Clothing,Cairo,1310.25,8/7/2024
317,Rania Hassan,Electronics,Alexandria,4950.6,8/8/2024
318,Sherif Nabil,Grocery,Cairo,830.75,8/9/2024
319,Mostafa Fathy,Clothing,Giza,1465.4,8/10/2024
320,Menna Hassan,Electronics,Cairo,5850.25,8/11/2024
321,Khaled Adel,Grocery,Alexandria,705.5,8/12/2024
322,Salma Nabil,Clothing,Cairo,1260.75,8/13/2024
323,Mohamed Fathy,Electronics,Giza,4500.6,8/14/2024
324,Reem Saeed,Grocery,Cairo,915.25,8/15/2024
325,Ibrahim Hassan,Clothing,Alexandria,1390.4,8/16/2024
326,Asmaa Adel,Electronics,Cairo,5200.75,8/17/2024
327,Marwan Nabil,Grocery,Giza,680.5,8/18/2024
328,Huda Fathy,Clothing,Cairo,1530.25,8/19/2024
329,Adel Hassan,Electronics,Alexandria,4750.6,8/20/2024
330,Esraa Saeed,Grocery,Cairo,795.75,8/21/2024
331,Islam Adel,Clothing,Giza,1285.4,8/22/2024
332,Mariam Hassan,Electronics,Cairo,6000.25,8/23/2024
333,Ahmed Fathy,Grocery,Alexandria,620.5,8/24/2024
334,Sara Hassan,Clothing,Cairo,1440.75,8/25/2024
335,Omar Adel,Electronics,Giza,5100.6,8/26/2024
336,Nour Khaled,Grocery,Cairo,855.25,8/27/2024
337,Youssef Saeed,Clothing,Alexandria,1370.4,8/28/2024
338,Mona Hassan,Electronics,Cairo,4650.75,8/29/2024
339,Karim Nabil,Grocery,Giza,710.5,8/30/2024
340,Laila Fathy,Clothing,Cairo,1595.25,8/31/2024
341,Tarek Hassan,Electronics,Alexandria,5500.6,9/1/2024
342,Heba Adel,Grocery,Cairo,640.75,9/2/2024
343,Amr Nabil,Clothing,Giza,1320.4,9/3/2024
344,Dina Fathy,Electronics,Cairo,4850.25,9/4/2024
345,Hany Hassan,Grocery,Alexandria,780.5,9/5/2024
346,Rania Adel,Clothing,Cairo,1480.75,9/6/2024
347,Sherif Fathy,Electronics,Giza,5700.6,9/7/2024
348,Mostafa Hassan,Grocery,Cairo,695.25,9/8/2024
349,Menna Nabil,Clothing,Alexandria,1250.4,9/9/2024
350,Khaled Fathy,Electronics,Cairo,5300.75,9/10/2024
